"'poort van het paradijs'","","","Nistelrode","51.691186","5.578042","","Yes","Unknown","","http://lh3.ggpht.com/AIbWOwlxz8DY296sndTsrdKumwmRKTAnEyY7Je9noTCewwOL-1OLtWXgOTu-T3HibRfBSPk3qfcTgu6awcq8"
"Fontein Rusheuvel","rusheuvel","Rusheuvelstraat 5","Oss","51.776532","5.524216","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.776532&mlon=5.524216&zoom=16","http://maps.google.com/maps?q=51.776532,5.524216",""
"Fountain","","Raadhuislaan 2A","Oss","51.765172","5.525956","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.765172&mlon=5.525956&zoom=16","http://maps.google.com/maps?q=51.765172,5.525956",""
"Fountain","","Parklaan 20","Oss","51.776068","5.500602","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.776068&mlon=5.500602&zoom=16","http://maps.google.com/maps?q=51.776068,5.500602",""
"Fruithapje","","Oosthaag 12","Oss","51.779847","5.519938","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.779847&mlon=5.519938&zoom=16","http://maps.google.com/maps?q=51.779847,5.519938",""
"Garden Rock","","","Nistelrode","51.701208","5.555718","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.701208&mlon=5.555718&zoom=16","http://maps.google.com/maps?q=51.701208,5.555718",""
"Gedenkteken De Stoomtram","","","Nistelrode","51.701168","5.563093","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.701168&mlon=5.563093&zoom=16","http://maps.google.com/maps?q=51.701168,5.563093",""
"Gedicht bij EmtÃ© op de muur","","Heschepad 53A","Oss","51.7669506","5.5238324","OCL","No","Pending","http://www.openstreetmap.org/?mlat=51.7669506&mlon=5.5238324&zoom=16","http://maps.google.com/maps?q=51.7669506,5.5238324",""
"Gedicht Camphuysenstraat","camphuysenstraat","Camphuysenstraat 3","Oss","51.753631","5.51028","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.753631&mlon=5.51028&zoom=16","http://maps.google.com/maps?q=51.753631,5.51028",""
"Gedicht spieghelstraat","spiegelstraat","Constantijn Huygensstraat 36","Oss","51.752342","5.508291","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.752342&mlon=5.508291&zoom=16","http://maps.google.com/maps?q=51.752342,5.508291",""
"Gedicht Vd Nootstr","","Van der Nootstraat 26","Oss","51.751884","5.509607","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.751884&mlon=5.509607&zoom=16","http://maps.google.com/maps?q=51.751884,5.509607",""
"Gedicht Vd Nootstr","","Constantijn Huygensstraat 26","Oss","51.752507","5.508847","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.752507&mlon=5.508847&zoom=16","http://maps.google.com/maps?q=51.752507,5.508847",""
"Gekleurde Hand","","Jonkers van Ossstraat 17","Oss","51.772915","5.513554","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.772915&mlon=5.513554&zoom=16","http://maps.google.com/maps?q=51.772915,5.513554",""
"Gemeente Bladeren Bernheze","","","Heesch","51.734497","5.527447","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.734497&mlon=5.527447&zoom=16","http://maps.google.com/maps?q=51.734497,5.527447",""
"Gemeentehuis Maasdonk","","","Geffen","51.740766","5.46189","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.740766&mlon=5.46189&zoom=16","http://maps.google.com/maps?q=51.740766,5.46189",""
"Gemeentehuis Oss","","Raadhuislaan 2","Oss","51.764741","5.524724","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.764741&mlon=5.524724&zoom=16","http://maps.google.com/maps?q=51.764741,5.524724",""
"Gift to the City","","Begijnenstraat 121","Oss","51.770921","5.522513","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.770921&mlon=5.522513&zoom=16","http://maps.google.com/maps?q=51.770921,5.522513",""
"Glijbaan","","Paganinistraat 26","Oss","51.754259","5.513008","","Yes","None","http://www.openstreetmap.org/?mlat=51.754259&mlon=5.513008&zoom=16","http://maps.google.com/maps?q=51.754259,5.513008",""
"Glijbaan Stippelmot","","Stippelmot 11","Oss","51.77139","5.505546","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.77139&mlon=5.505546&zoom=16","http://maps.google.com/maps?q=51.77139,5.505546",""
"Glimmende Bal","","Burchtplein 4","Oss","51.771524","5.525818","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.771524&mlon=5.525818&zoom=16","http://maps.google.com/maps?q=51.771524,5.525818",""
"Grafengel","","De Vlasakkers 7","Oss","51.763845","5.510208","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.763845&mlon=5.510208&zoom=16","http://maps.google.com/maps?q=51.763845,5.510208",""
"Grand Fountain","","Anna van Schuurmanstraat 492","Oss","51.750677","5.501853","","Yes","Removed","http://www.openstreetmap.org/?mlat=51.750677&mlon=5.501853&zoom=16","http://maps.google.com/maps?q=51.750677,5.501853",""
"Groene Locomotief","","","Geffen","51.71307","5.416341","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.71307&mlon=5.416341&zoom=16","http://maps.google.com/maps?q=51.71307,5.416341",""
"Grote Kuil","","Grote Kuil","Oss","51.779059","5.53289","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.779059&mlon=5.53289&zoom=16","http://maps.google.com/maps?q=51.779059,5.53289",""
"Half Pipe","","Sleutelbloem","Berghem","51.762907","5.576467","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.762907&mlon=5.576467&zoom=16","http://maps.google.com/maps?q=51.762907,5.576467",""
"Hand","","Raadhuislaan 27A","Oss","51.764437","5.523903","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.764437&mlon=5.523903&zoom=16","http://maps.google.com/maps?q=51.764437,5.523903",""
"Hand at Station, Oss West","","Van Schaikstraat","Oss","51.75789","5.506187","","Yes","None","http://www.openstreetmap.org/?mlat=51.75789&mlon=5.506187&zoom=16","http://maps.google.com/maps?q=51.75789,5.506187",""
"Hand Paal","","Grindlaan 4","Oss","51.762927","5.499971","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.762927&mlon=5.499971&zoom=16","http://maps.google.com/maps?q=51.762927,5.499971",""
"Handje","handje verdistraat, verdistraat","Verdistraat 79","Oss","51.752726","5.517887","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.752726&mlon=5.517887&zoom=16","http://maps.google.com/maps?q=51.752726,5.517887",""
"Handje bij Oss West III","handje, oss west, station oss west","Van Schaikstraat 13","Oss","51.756684","5.507019","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.756684&mlon=5.507019&zoom=16","http://maps.google.com/maps?q=51.756684,5.507019",""
"Hands","","John F. Kennedybaan","Oss","51.764991","5.512129","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.764991&mlon=5.512129&zoom=16","http://maps.google.com/maps?q=51.764991,5.512129",""
"Hazenakker Soccerfield","hazenakker","Meidoornlaan","Oss","51.7504","5.534357","ONL 20180620","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.7504&mlon=5.534357&zoom=16","http://maps.google.com/maps?q=51.7504,5.534357",""
"Head","","Monsterstraat 5","Oss","51.769053","5.52305","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.769053&mlon=5.52305&zoom=16","http://maps.google.com/maps?q=51.769053,5.52305",""
"Heemkundekring Nistelvorst","","","Nistelrode","51.699508","5.561257","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.699508&mlon=5.561257&zoom=16","http://maps.google.com/maps?q=51.699508,5.561257",""
"Heesch Statue Opposite of Church","","","Heesch","51.733676","5.520328","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.733676&mlon=5.520328&zoom=16","http://maps.google.com/maps?q=51.733676,5.520328",""
"Heilig Hart Church","heilig hart","Kromstraat 107","Oss","51.761903","5.510695","","Yes","ExGym","http://www.openstreetmap.org/?mlat=51.761903&mlon=5.510695&zoom=16","http://maps.google.com/maps?q=51.761903,5.510695",""
"Hengelaar","","","Heesch","51.728416","5.536183","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.728416&mlon=5.536183&zoom=16","http://maps.google.com/maps?q=51.728416,5.536183",""
"Herdenkingssteen","","","Heesch","51.733779","5.52818","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.733779&mlon=5.52818&zoom=16","http://maps.google.com/maps?q=51.733779,5.52818",""
"Het Denkproces","denkproces","Raadhuishof 25","Oss","51.764146","5.523884","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.764146&mlon=5.523884&zoom=16","http://maps.google.com/maps?q=51.764146,5.523884",""
"Het Gezin","","Kloosterstraat 6","Oss","51.762751","5.533769","","Yes","None","http://www.openstreetmap.org/?mlat=51.762751&mlon=5.533769&zoom=16","http://maps.google.com/maps?q=51.762751,5.533769",""
"Het Hert","hert","Het Woud 2","Oss","51.747477","5.501185","","Yes","ExGym","http://www.openstreetmap.org/?mlat=51.747477&mlon=5.501185&zoom=16","http://maps.google.com/maps?q=51.747477,5.501185",""
"High Five","","","Oss","51.756527","5.506294","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.756527&mlon=5.506294&zoom=16","http://maps.google.com/maps?q=51.756527,5.506294",""
"Holy Ghost Church","holy ghost","Linkensweg 1a","Oss","51.769781","5.52947","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.769781&mlon=5.52947&zoom=16","http://maps.google.com/maps?q=51.769781,5.52947",""
"Honden Speelplaats","","","Oss","51.768755","5.494454","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.768755&mlon=5.494454&zoom=16","http://maps.google.com/maps?q=51.768755,5.494454",""
"Hooge Heide - Infobord","","","Geffen","51.717743","5.390899","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.717743&mlon=5.390899&zoom=16","http://maps.google.com/maps?q=51.717743,5.390899",""
"Hoogheuvel Playground","","Lindenstraat 5","Oss","51.756257","5.54208","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.756257&mlon=5.54208&zoom=16","http://maps.google.com/maps?q=51.756257,5.54208",""
"Horlogerie","","Kerkstraat 11A","Oss","51.768804","5.522687","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.768804&mlon=5.522687&zoom=16","http://maps.google.com/maps?q=51.768804,5.522687",""
"Horse Statue","horse","De Horzak 1","Oss","51.776447","5.526927","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.776447&mlon=5.526927&zoom=16","http://maps.google.com/maps?q=51.776447,5.526927",""
"Horseman","","Wilhelminasingel 52","Berghem","51.772923","5.574944","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.772923&mlon=5.574944&zoom=16","http://maps.google.com/maps?q=51.772923,5.574944",""
"IJzertijdboerderij Ussen","ijzertijd","","Oss","51.769631","5.496448","","Yes","ExGym","http://www.openstreetmap.org/?mlat=51.769631&mlon=5.496448&zoom=16","http://maps.google.com/maps?q=51.769631,5.496448",""
"Ijzerwerk","","Meidoornlaan","Oss","51.751434","5.534364","ONL 20180620","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.751434&mlon=5.534364&zoom=16","http://maps.google.com/maps?q=51.751434,5.534364",""
"In Galop!","","","Nistelrode","51.694169","5.557692","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.694169&mlon=5.557692&zoom=16","http://maps.google.com/maps?q=51.694169,5.557692",""
"In Rememberance of World War Two Victims","","Spoorlaan 32A","Oss","51.765061","5.529378","","Yes","None","http://www.openstreetmap.org/?mlat=51.765061&mlon=5.529378&zoom=16","http://maps.google.com/maps?q=51.765061,5.529378",""
"In Remembrance of World War Two Victims","rememberance","Spoorlaan 22","Oss","51.76502","5.529035","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.76502&mlon=5.529035&zoom=16","http://maps.google.com/maps?q=51.76502,5.529035",""
"Info Sign De Hooge Heide","","","Geffen","51.723312","5.406664","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.723312&mlon=5.406664&zoom=16","http://maps.google.com/maps?q=51.723312,5.406664",""
"Infobord Binckhorst","","","Geffen","51.725248","5.406023","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.725248&mlon=5.406023&zoom=16","http://maps.google.com/maps?q=51.725248,5.406023",""
"Jan van Tilburg","","","Nistelrode","51.70376","5.561244","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.70376&mlon=5.561244&zoom=16","http://maps.google.com/maps?q=51.70376,5.561244",""
"Jan Visscherslaantje Playground","","","Geffen","51.722085","5.431793","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.722085&mlon=5.431793&zoom=16","http://maps.google.com/maps?q=51.722085,5.431793",""
"Jesus Statue","jezus","Hescheweg 33","Oss","51.758636","5.528841","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.758636&mlon=5.528841&zoom=16","http://maps.google.com/maps?q=51.758636,5.528841",""
"Jezus Aan Het Kruis","","","Oss","51.76081","5.501078","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.76081&mlon=5.501078&zoom=16","http://maps.google.com/maps?q=51.76081,5.501078",""
"Joodse Begraafplaats","","Hescheweg 124","Oss","51.75364","5.531773","ONL 20180620","Yes","Stop","http://www.openstreetmap.org/?mlat=51.75364&mlon=5.531773&zoom=16","http://maps.google.com/maps?q=51.75364,5.531773",""
"Jumping","","Kuipers Rietbergstraat 31","Oss","51.77473","5.527689","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.77473&mlon=5.527689&zoom=16","http://maps.google.com/maps?q=51.77473,5.527689",""
"Kabelbaan","","","Oss","51.763185","5.506187","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.763185&mlon=5.506187&zoom=16","http://maps.google.com/maps?q=51.763185,5.506187",""
"Kabelbaan","","Kuipers Rietbergstraat 154","Oss","51.77451","5.53385","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.77451&mlon=5.53385&zoom=16","http://maps.google.com/maps?q=51.77451,5.53385",""
"Kabelbaan Kuiper Rietbergstraat","","Kuipers Rietbergstraat 162","Oss","51.77453","5.534439","PLP","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.77453&mlon=5.534439&zoom=16","http://maps.google.com/maps?q=51.77453,5.534439",""
"Kabouterpad Eekhoorn","","","Nistelrode","51.689766","5.5975","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.689766&mlon=5.5975&zoom=16","http://maps.google.com/maps?q=51.689766,5.5975",""
"Kabouterpad Hert","","","Nistelrode","51.694533","5.594394","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.694533&mlon=5.594394&zoom=16","http://maps.google.com/maps?q=51.694533,5.594394",""
"Kabouterpad Rustplaats","","","Nistelrode","51.689411","5.594442","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.689411&mlon=5.594442&zoom=16","http://maps.google.com/maps?q=51.689411,5.594442",""
"Kabouterpad Schaap","","","Nistelrode","51.691361","5.597318","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.691361&mlon=5.597318&zoom=16","http://maps.google.com/maps?q=51.691361,5.597318",""
"Kabouterpad Stuwdam","","","Nistelrode","51.693072","5.59429","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.693072&mlon=5.59429&zoom=16","http://maps.google.com/maps?q=51.693072,5.59429",""
"Kabouterpad Verrekijker","","","Nistelrode","51.694216","5.598104","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.694216&mlon=5.598104&zoom=16","http://maps.google.com/maps?q=51.694216,5.598104",""
"Kapel Geffen","","","Geffen","51.740272","5.466732","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.740272&mlon=5.466732&zoom=16","http://maps.google.com/maps?q=51.740272,5.466732",""
"Kasteel Snor","snor","Anna van Schuurmanstraat 492","Oss","51.751069","5.501498","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.751069&mlon=5.501498&zoom=16","http://maps.google.com/maps?q=51.751069,5.501498",""
"Kasteel Van Oss","","","Oss","51.77204","5.526474","","Yes","Unknown","","http://lh3.googleusercontent.com/hmf7_GUDZ5Z5pOWjPFWnig75Z43_xt13MN5L89yACxDxzlqZzzQaqghulVkGqzyMP5ycia3NjL4rSSUNk_M0"
"Kastelen Bankje","","","Geffen","51.716578","5.420451","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.716578&mlon=5.420451&zoom=16","http://maps.google.com/maps?q=51.716578,5.420451",""
"Keltisch Kruis","","","Geffen","51.735816","5.428721","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.735816&mlon=5.428721&zoom=16","http://maps.google.com/maps?q=51.735816,5.428721",""
"Kerk","","","Oss","51.77151","5.514124","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.77151&mlon=5.514124&zoom=16","http://maps.google.com/maps?q=51.77151,5.514124",""
"Kerkkloktoren Heesch","","","Heesch","51.733196","5.520604","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.733196&mlon=5.520604&zoom=16","http://maps.google.com/maps?q=51.733196,5.520604",""
"Kids Playground","","Saffier 88","Oss","51.765021","5.505474","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.765021&mlon=5.505474&zoom=16","http://maps.google.com/maps?q=51.765021,5.505474",""
"Kids Playground","wolvepad","Wolvepad 29","Berghem","51.774995","5.57827","ONL 20180620","Yes","Stop","http://www.openstreetmap.org/?mlat=51.774995&mlon=5.57827&zoom=16","http://maps.google.com/maps?q=51.774995,5.57827",""
"Kids Playground 't Bikkeltje","bikkeltje, 't bikkeltje","Wilhelminasingel 44","Berghem","51.772666","5.573911","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.772666&mlon=5.573911&zoom=16","http://maps.google.com/maps?q=51.772666,5.573911",""
"Kids Playground Berghem I","berghem 1, berghem i","Joeri Gagarinstraat 57","Berghem","51.773247","5.581295","ONL 20180620","Yes","Gym","http://www.openstreetmap.org/?mlat=51.773247&mlon=5.581295&zoom=16","http://maps.google.com/maps?q=51.773247,5.581295",""
"Kids Playground Berghem II","berghem 2, berghem ii","Joeri Gagarinstraat 33","Berghem","51.773045","5.580286","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.773045&mlon=5.580286&zoom=16","http://maps.google.com/maps?q=51.773045,5.580286",""
"Kids Playground Berghem III","berghem 3, berghem iii","Joeri Gagarinstraat 7","Berghem","51.772982","5.579155","ONL 20180620","Yes","Stop","http://www.openstreetmap.org/?mlat=51.772982&mlon=5.579155&zoom=16","http://maps.google.com/maps?q=51.772982,5.579155",""
"Kids Playground Heesch","","","Heesch","51.731761","5.532107","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.731761&mlon=5.532107&zoom=16","http://maps.google.com/maps?q=51.731761,5.532107",""
"Kids Playground Molenweg","molenweg","Molenweg 71","Berghem","51.772042","5.575012","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.772042&mlon=5.575012&zoom=16","http://maps.google.com/maps?q=51.772042,5.575012",""
"Kids Playground Zuid","","","Oss","51.757761","5.541671","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.757761&mlon=5.541671&zoom=16","http://maps.google.com/maps?q=51.757761,5.541671",""
"Kids Playground Zuiderpark","","Trompstraat 77","Oss","51.759881","5.538055","ONL 20180620","Yes","Stop","http://www.openstreetmap.org/?mlat=51.759699&mlon=5.538177&zoom=16","http://maps.google.com/maps?q=51.759699,5.538177","Unknown","","http://lh3.googleusercontent.com/m-zyh1oCGRw717AYr5-J9F2fpsGf1GZiW3_x-jUR2AipS2tV2vpknoD9sOSEG7c5W-ovpLqHqn4ZqA_vQshO"
"Kids Playground â€˜t Bikkeltje","","Wilhelminasingel 41","Berghem","51.7729801","5.5741205","ONL 20180620","Yes","Stop","http://www.openstreetmap.org/?mlat=51.7729801&mlon=5.5741205&zoom=16","http://maps.google.com/maps?q=51.7729801,5.5741205",""
"Kids Soccerfield Berghem","","Wilhelminasingel 78","Berghem","51.774249","5.580047","ONL 20180620","Yes","Stop","http://www.openstreetmap.org/?mlat=51.774249&mlon=5.580047&zoom=16","http://maps.google.com/maps?q=51.774249,5.580047",""
"Kiosk-1","","","Nistelrode","51.701717","5.562134","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.701717&mlon=5.562134&zoom=16","http://maps.google.com/maps?q=51.701717,5.562134",""
"Kiss (Maaslandcollege)","maaslandcollege","","Oss","51.762461","5.523219","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.762461&mlon=5.523219&zoom=16","http://maps.google.com/maps?q=51.762461,5.523219",""
"Klim Spin","spin, klim","Ontginningspad","Berghem","51.763735","5.5755","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.763735&mlon=5.5755&zoom=16","http://maps.google.com/maps?q=51.763735,5.5755",""
"Klokkenspel","","","Oss","51.765002","5.525108","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.765002&mlon=5.525108&zoom=16","http://maps.google.com/maps?q=51.765002,5.525108",""
"Klokkentoren Heelwijk","","","Heesch","51.733962","5.533248","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.733962&mlon=5.533248&zoom=16","http://maps.google.com/maps?q=51.733962,5.533248",""
"Klokkentoren Karmelieten 1890-1990","klokkentoren karmelieten, karmelieten, klokkentoren","Oude Molenstraat 8","Oss","51.760404","5.532031","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.760404&mlon=5.532031&zoom=16","http://maps.google.com/maps?q=51.760404,5.532031",""
"Knooppunt 28","","Gerbrandylaan 1","Oss","51.758079","5.507684","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.758079&mlon=5.507684&zoom=16","http://maps.google.com/maps?q=51.758079,5.507684",""
"Knooppunt 30","","","Geffen","51.741648","5.424798","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.741648&mlon=5.424798&zoom=16","http://maps.google.com/maps?q=51.741648,5.424798",""
"Knooppunt 53","","","Nistelrode","51.68789","5.599744","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.68789&mlon=5.599744&zoom=16","http://maps.google.com/maps?q=51.68789,5.599744",""
"Koning Op Dak","","","Oss","51.760002","5.515854","","Yes","Unknown","","http://lh3.googleusercontent.com/w3tBydw8oliPF3PfBzZyGipoHBmHGWfQgNHk_86qzFSae-pLuS4zvy90o2E6kt8f7JFZ-LmwnzJYt2Hx_5I"
"Korenmolen Windlust","","","Nistelrode","51.705372","5.564393","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.705372&mlon=5.564393&zoom=16","http://maps.google.com/maps?q=51.705372,5.564393",""
"Kroonprins","","Kasteel 31","Oss","51.775802","5.515659","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.775802&mlon=5.515659&zoom=16","http://maps.google.com/maps?q=51.775802,5.515659",""
"Kruip Toestel Mini Mensjes","","","Oss","51.771881","5.530132","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.771881&mlon=5.530132&zoom=16","http://maps.google.com/maps?q=51.771881,5.530132",""
"Kruisstraat War Memorial","","","Geffen","51.732465","5.394874","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.732465&mlon=5.394874&zoom=16","http://maps.google.com/maps?q=51.732465,5.394874",""
"Kunst Poppen","poppen","","Oss","51.774056","5.504161","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.774056&mlon=5.504161&zoom=16","http://maps.google.com/maps?q=51.774056,5.504161",""
"Laaij maar klinken","","","Nistelrode","51.702378","5.561988","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.702378&mlon=5.561988&zoom=16","http://maps.google.com/maps?q=51.702378,5.561988",""
"Labrys","","","Heesch","51.7352","5.526568","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.7352&mlon=5.526568&zoom=16","http://maps.google.com/maps?q=51.7352,5.526568",""
"Lambertus Kerk","","","Nistelrode","51.700367","5.561541","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.700367&mlon=5.561541&zoom=16","http://maps.google.com/maps?q=51.700367,5.561541",""
"Lancer Sculpture","lancer","Tournooiveld 21","Oss","51.778906","5.511939","","Yes","ExGym","http://www.openstreetmap.org/?mlat=51.778906&mlon=5.511939&zoom=16","http://maps.google.com/maps?q=51.778906,5.511939",""
"Landgoed van Tosse","","","Oss Outside","51.7401846","5.5094241","PLP","No","Pending","http://www.openstreetmap.org/?mlat=51.7401846&mlon=5.5094241&zoom=16","http://maps.google.com/maps?q=51.7401846,5.5094241",""
"Landweer In Heesch","","","Heesch","51.732469","5.545258","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.732469&mlon=5.545258&zoom=16","http://maps.google.com/maps?q=51.732469,5.545258",""
"Large Sundial","","","Heesch","51.733157","5.532629","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.733157&mlon=5.532629&zoom=16","http://maps.google.com/maps?q=51.733157,5.532629",""
"Lippen","","Strovlasstraat 2","Oss","51.760628","5.501357","","Yes","ExGym","http://www.openstreetmap.org/?mlat=51.760628&mlon=5.501357&zoom=16","http://maps.google.com/maps?q=51.760628,5.501357",""
"Logo Osse Tennisclub","","Macharenseweg 14","Oss","51.778306","5.527876","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.778306&mlon=5.527876&zoom=16","http://maps.google.com/maps?q=51.778306,5.527876",""
"Louis de Bourbon","louis, bourbon","Burgemeester de Bourbonhof 46","Oss","51.767271","5.535825","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.767271&mlon=5.535825&zoom=16","http://maps.google.com/maps?q=51.767271,5.535825",""
"Maanplantsoen","","Neptunusstraat 8","Oss","51.768528","5.503717","OCL 20180623","No","Pending","http://www.openstreetmap.org/?mlat=51.768528&mlon=5.503717&zoom=16","http://maps.google.com/maps?q=51.768528,5.503717",""
"Maasdonk Sofa","","","Geffen","51.740842","5.461004","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.740842&mlon=5.461004&zoom=16","http://maps.google.com/maps?q=51.740842,5.461004",""
"Maashorst","","","Nistelrode","51.695113","5.580086","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.695113&mlon=5.580086&zoom=16","http://maps.google.com/maps?q=51.695113,5.580086",""
"Maashorst 2","","","Heesch","51.731286","5.549965","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.731286&mlon=5.549965&zoom=16","http://maps.google.com/maps?q=51.731286,5.549965",""
"Maashorst Heideveld-Slabroek","","","Nistelrode","51.683823","5.602748","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.683823&mlon=5.602748&zoom=16","http://maps.google.com/maps?q=51.683823,5.602748",""
"Maashorst Schuilplaats","","","Nistelrode","51.690793","5.615436","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.690793&mlon=5.615436&zoom=16","http://maps.google.com/maps?q=51.690793,5.615436",""
"Maaspoort Wachters","","","Nistelrode","51.69492","5.575577","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.69492&mlon=5.575577&zoom=16","http://maps.google.com/maps?q=51.69492,5.575577",""
"Man Met De Schep","","","Geffen","51.730746","5.433698","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.730746&mlon=5.433698&zoom=16","http://maps.google.com/maps?q=51.730746,5.433698",""
"Man with Bag","","Kruisstraat 23","Oss","51.766223","5.521142","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.766223&mlon=5.521142&zoom=16","http://maps.google.com/maps?q=51.766223,5.521142",""
"Mannetje Bij De Handboog","handboog","BourgondiÃ«straat 38","Oss","51.775197","5.516097","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.775197&mlon=5.516097&zoom=16","http://maps.google.com/maps?q=51.775197,5.516097",""
"Map Of Berghem And Oss","map, map of berghem","Hoessenboslaan 2","Berghem","51.774927","5.581262","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.774927&mlon=5.581262&zoom=16","http://maps.google.com/maps?q=51.774927,5.581262",""
