"'poort van het paradijs'","","","Nistelrode","51.691186","5.578042","","Yes","Unknown","","http://lh3.ggpht.com/AIbWOwlxz8DY296sndTsrdKumwmRKTAnEyY7Je9noTCewwOL-1OLtWXgOTu-T3HibRfBSPk3qfcTgu6awcq8"
"A59 Rusty Art","","","Geffen","51.720513","5.448605","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.720513&mlon=5.448605&zoom=16","http://maps.google.com/maps?q=51.720513,5.448605",""
"Abstract Art","abstract","Van Schaikstraat 9","Oss","51.756857","5.506629","","Yes","None","http://www.openstreetmap.org/?mlat=51.756857&mlon=5.506629&zoom=16","http://maps.google.com/maps?q=51.756857,5.506629",""
"Ad de Laat","","","Nistelrode","51.701184","5.562737","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.701184&mlon=5.562737&zoom=16","http://maps.google.com/maps?q=51.701184,5.562737",""
"An Van Den Akker.","","","Heesch","51.730187","5.555584","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.730187&mlon=5.555584&zoom=16","http://maps.google.com/maps?q=51.730187,5.555584",""
"Animal","animal","Tarwestraat 89","Berghem","51.767311","5.5832","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.767311&mlon=5.5832&zoom=16","http://maps.google.com/maps?q=51.767311,5.5832",""
"Archeologische Opgravingen","opgraving","Spieker","Oss","51.776036","5.531531","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.776036&mlon=5.531531&zoom=16","http://maps.google.com/maps?q=51.776036,5.531531",""
"Art","art","Kerkstraat 40","Berghem","51.768831","5.567747","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.768831&mlon=5.567747&zoom=16","http://maps.google.com/maps?q=51.768831,5.567747",""
"Art Installation at Church of Berghem","art installation","Beatrixstraat 10","Berghem","51.769766","5.565914","","Yes","ExGym","http://www.openstreetmap.org/?mlat=51.769766&mlon=5.565914&zoom=16","http://maps.google.com/maps?q=51.769766,5.565914",""
"Art of Stone","","","Nistelrode","51.701945","5.557851","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.701945&mlon=5.557851&zoom=16","http://maps.google.com/maps?q=51.701945,5.557851",""
"Bacchus","","Molenstraat 65","Oss","51.765491","5.526701","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.765491&mlon=5.526701&zoom=16","http://maps.google.com/maps?q=51.765491,5.526701",""
"Bakkerij Mural Links","bakkerij, strik","Kromstraat 162","Oss","51.761419","5.506127","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.761419&mlon=5.506127&zoom=16","http://maps.google.com/maps?q=51.761419,5.506127",""
"Baloon Popper","baloon, ballon, popper","Achter de Vuurloze 5","Oss","51.767566","5.521139","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.767566&mlon=5.521139&zoom=16","http://maps.google.com/maps?q=51.767566,5.521139","http://lh4.ggpht.com/Z49108nZku7I6e5gnM895VvQjoUcxJMmHL2sFTsPPkrJdS1jViUFos3QQhzvR4eKiXNKowIsFZ-euscluW6N"
"Bankje Bergoss","bergoss","Oostwal 177","Oss","51.768389","5.528307","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.768389&mlon=5.528307&zoom=16","http://maps.google.com/maps?q=51.768389,5.528307",""
"Basket Adelaar","","Adelaar 81","Oss","51.767795","5.550849","OCL","No","Pending","http://www.openstreetmap.org/?mlat=51.767795&mlon=5.550849&zoom=16","http://maps.google.com/maps?q=51.767795,5.550849",""
"Basketbal Field Zuiderpark","","","Oss","51.760287","5.537265","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.760287&mlon=5.537265&zoom=16","http://maps.google.com/maps?q=51.760287,5.537265",""
"Basketbalveld","","Parklaan 26","Oss","51.776244","5.500207","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.776244&mlon=5.500207&zoom=16","http://maps.google.com/maps?q=51.776244,5.500207",""
"Berghem - Burgemeester van Erp","burgemeester, van erp","Burgemeester van Erpstraat 2","Berghem","51.774282","5.565772","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.774282&mlon=5.565772&zoom=16","http://maps.google.com/maps?q=51.774282,5.565772",""
"Berghemse Buffer","","Ontginningspad","Berghem","51.762848","5.575903","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.762848&mlon=5.575903&zoom=16","http://maps.google.com/maps?q=51.762848,5.575903",""
"Bergos Factory Murial","factory mural","Koningsloper 221","Oss","51.767076","5.528739","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.767076&mlon=5.528739&zoom=16","http://maps.google.com/maps?q=51.767076,5.528739",""
"Bevrijdingsmonument Geffen","","","Geffen","51.741458","5.464239","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.741458&mlon=5.464239&zoom=16","http://maps.google.com/maps?q=51.741458,5.464239",""
"Bibliotheek","","","Heesch","51.734153","5.52798","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.734153&mlon=5.52798&zoom=16","http://maps.google.com/maps?q=51.734153,5.52798",""
"Bibliotheek","","Raadhuislaan 14","Oss","51.763808","5.521897","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.763808&mlon=5.521897&zoom=16","http://maps.google.com/maps?q=51.763808,5.521897",""
"Big White Cross","","","Nistelrode","51.70563","5.569507","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.70563&mlon=5.569507&zoom=16","http://maps.google.com/maps?q=51.70563,5.569507",""
"Biggest Buddha Statue in the World","","Osseweg 48","Berghem","51.769623","5.556675","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.769623&mlon=5.556675&zoom=16","http://maps.google.com/maps?q=51.769623,5.556675",""
"Blauw Rendier","rendier","Anna van Schuurmanstraat 492","Oss","51.751044","5.502255","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.751044&mlon=5.502255&zoom=16","http://maps.google.com/maps?q=51.751044,5.502255",""
"Blauwe Antieke Tractor","","","Geffen","51.740698","5.450594","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.740698&mlon=5.450594&zoom=16","http://maps.google.com/maps?q=51.740698,5.450594",""
"Blikmikker","","Lisztgaarde 101","Oss","51.754456","5.513163","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.754456&mlon=5.513163&zoom=16","http://maps.google.com/maps?q=51.754456,5.513163",""
"Blue Artwork","","","Heesch","51.737954","5.52702","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.737954&mlon=5.52702&zoom=16","http://maps.google.com/maps?q=51.737954,5.52702",""
"Blue Sculpture","","","Heesch","51.736857","5.531971","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.736857&mlon=5.531971&zoom=16","http://maps.google.com/maps?q=51.736857,5.531971",""
"Boerenleenbank","","","Heesch","51.734823","5.532885","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.734823&mlon=5.532885&zoom=16","http://maps.google.com/maps?q=51.734823,5.532885",""
"Bomenpark Hooge Vorssel 2","","","Heesch","51.731553","5.551003","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.731553&mlon=5.551003&zoom=16","http://maps.google.com/maps?q=51.731553,5.551003",""
"Bomenpark Hooge Vorssel 4","","","Heesch","51.730952","5.548344","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.730952&mlon=5.548344&zoom=16","http://maps.google.com/maps?q=51.730952,5.548344",""
"Bomenpark hooge Vossel","","","Heesch","51.725262","5.547101","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.725262&mlon=5.547101&zoom=16","http://maps.google.com/maps?q=51.725262,5.547101",""
"Boombankje","","Sint Barbaraplein 13","Oss","51.767317","5.521434","","Yes","None","http://www.openstreetmap.org/?mlat=51.767317&mlon=5.521434&zoom=16","http://maps.google.com/maps?q=51.767317,5.521434",""
"Bosbeheer","","","Nistelrode","51.691111","5.616392","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.691111&mlon=5.616392&zoom=16","http://maps.google.com/maps?q=51.691111,5.616392",""
"Brabantse Boer","","","Nistelrode","51.700116","5.563176","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.700116&mlon=5.563176&zoom=16","http://maps.google.com/maps?q=51.700116,5.563176",""
"Broken Wing","","","Nistelrode","51.705299","5.568258","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.705299&mlon=5.568258&zoom=16","http://maps.google.com/maps?q=51.705299,5.568258",""
"Bronzen Ooievaar","ooievaar","Het Eiland 27","Oss","51.781877","5.516682","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.781877&mlon=5.516682&zoom=16","http://maps.google.com/maps?q=51.781877,5.516682",""
"Butter Art","butter","Kruisstraat 11","Oss","51.767144","5.521663","","Yes","None","http://www.openstreetmap.org/?mlat=51.767144&mlon=5.521663&zoom=16","http://maps.google.com/maps?q=51.767144,5.521663",""
"Buurtbewoners","","Brederostraat 47","Oss","51.751888","5.512274","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.751888&mlon=5.512274&zoom=16","http://maps.google.com/maps?q=51.751888,5.512274",""
"Camphuysen Speeltuin","","","Oss","51.752204","5.511083","","Yes","Unknown","","http://lh3.googleusercontent.com/jwmVnfPJkuysPiThgtwY_VzZzF-gOao4-NQX4__cwSoA_hHLHkLGgyk9ww7BSOFaGCl_Eyj98wwqlYUczbVs"
"Carnaval Des Animaux","","","Heesch","51.734165","5.527375","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.734165&mlon=5.527375&zoom=16","http://maps.google.com/maps?q=51.734165,5.527375",""
"Compass Statue","compass","Veldstraat 39C","Berghem","51.77263","5.569735","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.77263&mlon=5.569735&zoom=16","http://maps.google.com/maps?q=51.77263,5.569735",""
"Cow Statue","cow","Haagpoort 69","Oss","51.780308","5.521591","","Yes","ExGym","http://www.openstreetmap.org/?mlat=51.780308&mlon=5.521591&zoom=16","http://maps.google.com/maps?q=51.780308,5.521591",""
"Cross at Oss","cross","Orseleindstraat 1","Oss","51.772689","5.519807","","Yes","ExGym","http://www.openstreetmap.org/?mlat=51.772689&mlon=5.519807&zoom=16","http://maps.google.com/maps?q=51.772689,5.519807",""
"Cross Zwanenberg","","","Oss","51.756898","5.5237","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.756898&mlon=5.5237&zoom=16","http://maps.google.com/maps?q=51.756898,5.5237",""
"Crossfield Kids West","","Treubstraat 22","Oss","51.75711","5.50412","Laurie/Leon","","Pending","http://www.openstreetmap.org/?mlat=51.75711&mlon=5.50412&zoom=16","http://maps.google.com/maps?q=51.75711,5.50412",""
"Crouching Figure","crouching","Anna Bijnsstraat 32","Oss","51.754111","5.508432","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.754111&mlon=5.508432&zoom=16","http://maps.google.com/maps?q=51.754111,5.508432",""
"Cruyff Court","","","Geffen","51.722336","5.40588","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.722336&mlon=5.40588&zoom=16","http://maps.google.com/maps?q=51.722336,5.40588",""
"CRUYFF COURT FC OSS","","Vijversingel 22","Oss","51.769153","5.545068","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.769153&mlon=5.545068&zoom=16","http://maps.google.com/maps?q=51.769153,5.545068",""
"D'n Upperman","","","Heesch","51.734197","5.529149","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.734197&mlon=5.529149&zoom=16","http://maps.google.com/maps?q=51.734197,5.529149",""
"Dancing Fishes","","","Nistelrode","51.702991","5.567061","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.702991&mlon=5.567061&zoom=16","http://maps.google.com/maps?q=51.702991,5.567061",""
"Dankbare Herinnering aan Onze Pastoor","","","Nistelrode","51.702039","5.559782","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.702039&mlon=5.559782&zoom=16","http://maps.google.com/maps?q=51.702039,5.559782",""
"De 3 Paters","3 paters","Koornstraat 36","Oss","51.772489","5.525453","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.772489&mlon=5.525453&zoom=16","http://maps.google.com/maps?q=51.772489,5.525453",""
"De Buitelaar","","","Heesch","51.728606","5.539212","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.728606&mlon=5.539212&zoom=16","http://maps.google.com/maps?q=51.728606,5.539212",""
"De Duiker","duiker","Parklaan 46","Oss","51.776988","5.498913","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.776988&mlon=5.498913&zoom=16","http://maps.google.com/maps?q=51.776988,5.498913",""
"De Edelen","edelen","De Edelenburg 12","Oss","51.776756","5.515381","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.776756&mlon=5.515381&zoom=16","http://maps.google.com/maps?q=51.776756,5.515381",""
"De Harlekijn","harlekijn","Heuvel 25","Oss","51.769635","5.525561","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.769635&mlon=5.525561&zoom=16","http://maps.google.com/maps?q=51.769635,5.525561",""
"De Krullevaar","","","Heesch","51.732898","5.532642","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.732898&mlon=5.532642&zoom=16","http://maps.google.com/maps?q=51.732898,5.532642",""
"De Maashorst Geschiedenis Van De Blokhut","","","Nistelrode","51.691375","5.616192","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.691375&mlon=5.616192&zoom=16","http://maps.google.com/maps?q=51.691375,5.616192",""
"De Meeuwerloop","","","Nistelrode","51.686023","5.539403","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.686023&mlon=5.539403&zoom=16","http://maps.google.com/maps?q=51.686023,5.539403",""
"De Pil van Organon","pil, pil van organon","Gasstraat 12","Oss","51.764642","5.53039","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.764642&mlon=5.53039&zoom=16","http://maps.google.com/maps?q=51.764642,5.53039",""
"De Schaepskooi","schaepskooi, schaapskooi","Troelstrastraat 13","Oss","51.755434","5.502799","","","Removed","http://www.openstreetmap.org/?mlat=51.755434&mlon=5.502799&zoom=16","http://maps.google.com/maps?q=51.755434,5.502799",""
"De Slang","slang","Verdistraat 374","Oss","51.751101","5.516733","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.751101&mlon=5.516733&zoom=16","http://maps.google.com/maps?q=51.751101,5.516733",""
"De Speelbes","speelbes","Bessenlaan 24","Oss","51.770002","5.503801","","Yes","None","http://www.openstreetmap.org/?mlat=51.770002&mlon=5.503801&zoom=16","http://maps.google.com/maps?q=51.770002,5.503801",""
"De Spie nieuwe horzak","spie","Malpad 12","Oss","51.779267","5.534374","PLP","No","Pending","http://www.openstreetmap.org/?mlat=51.779267&mlon=5.534374&zoom=16","http://maps.google.com/maps?q=51.779267,5.534374",""
"De Trekschuit","trekschuit","Teugenaarsstraat 27","Oss","51.768573","5.532947","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.768573&mlon=5.532947&zoom=16","http://maps.google.com/maps?q=51.768573,5.532947",""
"De vijf eiken","","","Heesch","51.732202","5.522373","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.732202&mlon=5.522373&zoom=16","http://maps.google.com/maps?q=51.732202,5.522373",""
"De Vleesschauwer","","","Geffen","51.724501","5.404817","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.724501&mlon=5.404817&zoom=16","http://maps.google.com/maps?q=51.724501,5.404817",""
"De Voetbal","voetbal","Amsteleindstraat 25","Oss","51.760731","5.49413","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.760731&mlon=5.49413&zoom=16","http://maps.google.com/maps?q=51.760731,5.49413",""
"De Waterdrager","waterdrager","Voorburcht 12","Oss","51.778159","5.506949","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.778159&mlon=5.506949&zoom=16","http://maps.google.com/maps?q=51.778159,5.506949",""
"De Zonneboom","zonneboom","Eemmeer","Oss Outside","51.787835","5.554233","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.787835&mlon=5.554233&zoom=16","http://maps.google.com/maps?q=51.787835,5.554233",""
