"Sitting Female Statue","51.753445","5.506375"
"Skate Baan Graffiti","51.777682","5.521869"
"Sneeuwpop","51.769213","5.528572"
"Sociaal Cultureel Centrum","51.76721","5.521039"
"Solar Tree","51.749585","5.561175"
"Solar Tree","51.769926","5.551965"
"Solar Tree 2","51.755826","5.556231"
"Speeltuin","51.77363","5.505929"
"Speeltuin Albarda","51.754974","5.498989"
"Speeltuin Anker","51.773681","5.500579"
"Speeltuin Beethovengaarde","51.755554","5.512807"
"Speeltuin Buitenhof","51.77909","5.507113"
"Speeltuin Cluster","51.748937","5.499698"
"Speeltuin Haagpoort","51.779438","5.520733"
"Speeltuin Heihoek","51.758215","5.495284"
"Speeltuin Lichtmot","51.771561","5.503317"
"Speeltuin Meijerij","51.765344","5.493553"
"Speeltuin Seringenhof","51.761124","5.52841"
"Speeltuin Tinnegieter","51.763227","5.494023"
"Speeltuin Ussen","51.76537","5.489799"
"Speeltuin Zonnebloem","51.762992","5.52578"
"Spelen Met Een Bal","51.78022","5.536842"
"St Mary with Angels","51.769081","5.522446"
"Standing Figure","51.75454","5.50851"
"Standing Figure II","51.754643","5.509495"
"Station Oss West","51.758276","5.506861"
"Statue Jurgensplein","51.770108","5.532293"
"Statue of Saint Mary","51.76977","5.529917"
"Statute in Stone of Female, Oss","51.76519","5.526619"
"Stieropdemuur","51.765439","5.526279"
"Struikelsteentjes","51.765955","5.525427"
"T Art","51.77513","5.501125"
"T Putje","51.746842","5.544729"
"The Peacock","51.767941","5.532506"
"The Playground","51.751861","5.503661"
"Titus Brandsma","51.766977","5.525773"
"Train Station Oss","51.765212","5.530683"
"Triton Oss","51.749765","5.490887"
"Tussen Jou En Mij","51.752278","5.502205"
"Varken","51.768095","5.524207"
"Violin in Stone","51.765199","5.525603"
"Vioolspelende vrouw Berghem","51.773888","5.565277"
"Voetbal Veld","51.76766","5.491891"
"Voetbaloefenveld","51.776991","5.586777"
"VolksUNIversiteit","51.764765","5.520032"
"Walking figure Oss","51.754783","5.510038"
"Wall Art","51.765093","5.493715"
"Wandelroute Putje","51.747077","5.544786"
"War Memorial Oss","51.758077","5.532414"
"Water Kunstlicht","51.769409","5.524846"
"Waterpaddestoel","51.762585","5.545496"
"Watertoren","51.765574","5.51535"
"Wiel","51.76978","5.571549"
"Willibrordus Kerk","51.769232","5.522022"
"Window Mural","51.76909","5.521376"
"Wooden Art Couch I","51.768261","5.523188"
"Yellow Man","51.753504","5.505916"
"Zonneboom","51.765259","5.552766"
"Zuilensculptuur","51.766118","5.52365"
"Zuster Van Liefde","51.769486","5.568164"
"Zwaan","51.762786","5.505349"
